text,label
Please call me when you're free Rahul.,ham
Win a free Laptop today! Offer code Vk2ql.,spam
Please send the files for project OT55O.,ham
Your loan of ₹17112 is pre-approved. Apply instantly.,spam
Urgent: Your ATM card linked to PFyBAYhU has been blocked.,spam
I will reach office by 3:28.,ham
Can you review my code update 3nYjz?,ham
Exclusive reward for user hNFkJH. Redeem before midnight.,spam
Limited time deal on Voucher. Click to activate.,spam
Can you review my code update 6dhqN?,ham
You have been selected for a special Voucher prize.,spam
Congratulations! You have won ₹6410. Claim now!,spam
Please call me when you're free Sonal.,ham
Win a free Gift Card today! Offer code EwtUw.,spam
Happy birthday Neha! Have a great day.,ham
Happy birthday Sonal! Have a great day.,ham
Can you review my code update duBqO?,ham
Verify your KYC details to receive ₹15249 cashback.,spam
"Hey, are we meeting at Restaurant around 2:56?",ham
Please send the files for project QgeLM.,ham
Happy birthday Rahul! Have a great day.,ham
Please call me when you're free Neha.,ham
Can you review my code update 5TQyX?,ham
Please send the files for project QpNoJ.,ham
Exclusive reward for user Cg9f04. Redeem before midnight.,spam
Urgent: Your ATM card linked to QcdyQyTk has been blocked.,spam
Verify your KYC details to receive ₹7140 cashback.,spam
Meeting moved to 11:44 at Café Coffee Day.,ham
Can you review my code update 3aLAc?,ham
"Hey, are we meeting at Office around 1:56?",ham
Reminder: appointment scheduled on 4/12/2025.,ham
You have been selected for a special iPhone prize.,spam
Verify your KYC details to receive ₹17427 cashback.,spam
Did you submit the assignment for Networking?,ham
Let's catch up at Railway Station this weekend.,ham
Free subscription to iPhone for 30 days. Claim now.,spam
Urgent: Your ATM card linked to 3Bkdd2S9 has been blocked.,spam
Verify your KYC details to receive ₹17837 cashback.,spam
Reminder: appointment scheduled on 10/12/2025.,ham
You have been selected for a special Gift Card prize.,spam
Happy birthday Priya! Have a great day.,ham
Your account tbKfJG1t needs urgent verification.,spam
Win a free Gift Card today! Offer code IvTx3.,spam
Your account hLHS6pSW needs urgent verification.,spam
Urgent: Your ATM card linked to MDiWHpUR has been blocked.,spam
Can you review my code update HM5iD?,ham
Your account PLFx4hoQ needs urgent verification.,spam
Your loan of ₹9589 is pre-approved. Apply instantly.,spam
Your loan of ₹8553 is pre-approved. Apply instantly.,spam
Congratulations! You have won ₹4060. Claim now!,spam
"Hey, are we meeting at SG Highway around 8:19?",ham
Urgent: Your ATM card linked to 7dJK3fxu has been blocked.,spam
Limited time deal on Smartwatch. Click to activate.,spam
Verify your KYC details to receive ₹15160 cashback.,spam
Your loan of ₹13328 is pre-approved. Apply instantly.,spam
Reminder: appointment scheduled on 19/12/2025.,ham
Can you review my code update myw85?,ham
I will reach office by 1:35.,ham
Verify your KYC details to receive ₹4292 cashback.,spam
Congratulations! You have won ₹16472. Claim now!,spam
Your account al7cp1dc needs urgent verification.,spam
Can you review my code update 7fqnZ?,ham
Can you review my code update K3QxG?,ham
Meeting moved to 12:56 at SG Highway.,ham
Let's catch up at Café Coffee Day this weekend.,ham
Let's catch up at Office this weekend.,ham
Meeting moved to 11:41 at Railway Station.,ham
Exclusive reward for user FKFTQC. Redeem before midnight.,spam
Reminder: appointment scheduled on 2/12/2025.,ham
I will reach office by 4:55.,ham
